"Step","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX"
"135","0.29381370544433594","0.23941421508789062","0.34821319580078125","-1.0905399322509766","-1.1959228515625","-0.9851570129394531"
"137","0.28933143615722656","0.2369537353515625","0.3417091369628906","-1.086874008178711","-1.1841964721679688","-0.9895515441894531"
"139","0.2858924865722656","0.23632431030273438","0.3354606628417969","-1.1057491302490234","-1.2089271545410156","-1.0025711059570312"
"141","0.28215599060058594","0.23194503784179688","0.332366943359375","-1.1155548095703125","-1.2163276672363281","-1.0147819519042969"
"143","0.28055381774902344","0.23067092895507812","0.33043670654296875","-1.1300582885742188","-1.2278633117675781","-1.0322532653808594"
"145","0.2758769989013672","0.2274932861328125","0.3242607116699219","-1.1390132904052734","-1.2258186340332031","-1.0522079467773438"
"147","0.2748832702636719","0.22745895385742188","0.3223075866699219","-1.1516571044921875","-1.2431221008300781","-1.0601921081542969"
"149","0.2713336944580078","0.2260589599609375","0.3166084289550781","-1.1713714599609375","-1.2568511962890625","-1.0858917236328125"
"151","0.26807403564453125","0.22354507446289062","0.3126029968261719","-1.1778583526611328","-1.2625999450683594","-1.0931167602539062"
"153","0.2662925720214844","0.22245407104492188","0.3101310729980469","-1.1746788024902344","-1.2559623718261719","-1.0933952331542969"
"155","0.2613811492919922","0.21976089477539062","0.30300140380859375","-1.1979923248291016","-1.2953567504882812","-1.1006278991699219"
"157","0.25946807861328125","0.21800994873046875","0.30092620849609375","-1.211294174194336","-1.2971229553222656","-1.1254653930664062"
"159","0.25743865966796875","0.21446990966796875","0.30040740966796875","-1.2265796661376953","-1.3090934753417969","-1.1440658569335938"
"161","0.25434112548828125","0.21466064453125","0.2940216064453125","-1.2324237823486328","-1.3039360046386719","-1.1609115600585938"
"163","0.25305938720703125","0.21280288696289062","0.2933158874511719","-1.227956771850586","-1.3118324279785156","-1.1440811157226562"
"165","0.2508125305175781","0.21240997314453125","0.289215087890625","-1.2549667358398438","-1.3231773376464844","-1.1867561340332031"
"167","0.24717330932617188","0.207672119140625","0.28667449951171875","-1.246145248413086","-1.3140182495117188","-1.1782722473144531"
"169","0.24477005004882812","0.20784759521484375","0.2816925048828125","-1.2633132934570312","-1.3340072631835938","-1.1926193237304688"
"171","0.24389076232910156","0.20709991455078125","0.2806816101074219","-1.2610626220703125","-1.3412857055664062","-1.1808395385742188"
"173","0.24084854125976562","0.20434188842773438","0.2773551940917969","-1.2770919799804688","-1.3530998229980469","-1.2010841369628906"
"175","0.2371978759765625","0.20263290405273438","0.2717628479003906","-1.3002300262451172","-1.3704071044921875","-1.2300529479980469"
"177","0.2365589141845703","0.20207977294921875","0.2710380554199219","-1.2975788116455078","-1.3583412170410156","-1.23681640625"
"179","0.2354145050048828","0.20040130615234375","0.2704277038574219","-1.3016681671142578","-1.3691215515136719","-1.2342147827148438"
"181","0.23157119750976562","0.19795608520507812","0.2651863098144531","-1.3124923706054688","-1.3792266845703125","-1.245758056640625"
"183","0.2309856414794922","0.19991683959960938","0.262054443359375","-1.313272476196289","-1.3789291381835938","-1.2476158142089844"
"185","0.2267742156982422","0.19252777099609375","0.2610206604003906","-1.3260517120361328","-1.3868293762207031","-1.2652740478515625"
